MLS Number,Street Address,zip_code,county,County_Index,List Price,Sale Price,Age,Sq Ft Total,Lot Size,Days On Market,Listing Date,Sale Date,Year Built,Listing Year,Sale Year
ME221065764,44506 Clubhouse DR ,95618,Yolo,24,1390000,1500000,46,3272,21558,8,6/10/2021 0:00,6/18/2021 0:00,1975,2021,2021
ME221077677,1946 Creekcrest LN ,95648,Placer,10,745000,745000,20,2073,10402,4,7/1/2021 0:00,7/5/2021 0:00,2001,2021,2021
ML81849126,1560 Koch LN ,95125,Santa Clara,6,1598000,1700000,64,1826,7735,9,6/16/2021 0:00,6/25/2021 0:00,1957,2021,2021
ML81850355,1784 Pinecone CT ,95037,Santa Clara,6,769900,769900,30,1280,3675,4,6/23/2021 0:00,6/27/2021 0:00,1991,2021,2021
ML81850611,4913 Stirrup WAY ,94531,Contra Costa,4,569000,580000,29,1579,4500,11,6/24/2021 0:00,7/5/2021 0:00,1992,2021,2021
SF421569613,16 Bache ST ,94110,San Francisco,19,1480000,1480000,83,1100,1751,2,6/29/2021 0:00,7/1/2021 0:00,1938,2021,2021
BA321044988,4716 Foulger DR ,95405,Sonoma,13,915000,915000,45,1542,8398,24,6/24/2021 0:00,7/18/2021 0:00,1976,2021,2021
BA321053858,2101 Montgomery DR ,95405,Sonoma,13,799000,928000,65,1652,10010,2,6/18/2021 0:00,6/20/2021 0:00,1956,2021,2021
CRLG21118788,2215 Holly Lane ,92663,Orange,1,1799000,2025000,67,1598,7200,20,6/2/2021 0:00,6/22/2021 0:00,1954,2021,2021
CRNDP2106887,1111 Gale ST ,92027,San Diego,7,670000,670000,46,1448,7000,3,6/15/2021 0:00,6/18/2021 0:00,1975,2021,2021
CRPW21138892,2109 Phelps ,95206,San Joaquin,15,235000,235000,63,986,5005,6,6/23/2021 0:00,6/29/2021 0:00,1958,2021,2021
CRSC21126098,10701 Galway Bay DR ,93311,Kern,39,349900,365000,29,1921,5991,7,6/10/2021 0:00,6/17/2021 0:00,1992,2021,2021
CRSC21128836,1005 W Water ST ,93230,Kings,42,235000,235000,62,1050,6500,11,6/7/2021 0:00,6/18/2021 0:00,1959,2021,2021
CRSW21122855,872 E Agape AVE ,92583,Riverside,3,401800,450000,16,2144,8276,12,6/10/2021 0:00,6/22/2021 0:00,2005,2021,2021
CRTR21121236,607 Doral ST ,91761,San Bernardino,8,434900,460000,36,1295,2100,10,6/4/2021 0:00,6/14/2021 0:00,1985,2021,2021
CRTR21129438,7575 Greasewood RD ,92371,San Bernardino,8,380000,385000,15,1518,100188,9,6/15/2021 0:00,6/24/2021 0:00,2006,2021,2021
CRV0-220004133,4986 Shady Trail ST ,93063,Ventura,12,1165000,1100000,16,4346,12567,70,4/25/2020 0:00,7/4/2020 0:00,2005,2020,2020
EB40953519,5560 Ascot Dr ,94611,Alameda,5,1195000,1625000,75,2746,6600,12,6/9/2021 0:00,6/21/2021 0:00,1946,2021,2021
ME221045214,705 Ribier AVE ,95240,San Joaquin,15,355000,375000,68,1103,6159,5,6/11/2021 0:00,6/16/2021 0:00,1953,2021,2021
ME221050311,11594 Redwing CT ,95946,Nevada,28,849900,850000,47,3908,31363,0,6/14/2021 0:00,6/14/2021 0:00,1974,2021,2021
ME221062966,1543 Brendan WAY ,95667,El Dorado,18,659000,659000,42,2219,13504,14,6/10/2021 0:00,6/24/2021 0:00,1979,2021,2021
ME221065101,2424 Don Pedro RD ,95307,Stanislaus,16,330000,365000,81,1112,10764,4,6/9/2021 0:00,6/13/2021 0:00,1940,2021,2021
ME221065630,731 Greenwood AVE ,95605,Yolo,24,349900,365500,71,1053,5227,4,6/10/2021 0:00,6/14/2021 0:00,1950,2021,2021
ME221066962,807 Florin RD ,95831,Sacramento,2,375000,359000,39,1419,4674,3,6/11/2021 0:00,6/14/2021 0:00,1982,2021,2021
ME221069848,119 Merton WAY ,95240,San Joaquin,15,525000,560000,4,1721,4948,3,6/17/2021 0:00,6/20/2021 0:00,2017,2021,2021
ML81848761,1130 Raposa CT ,95121,Santa Clara,6,1099000,1420000,41,1799,14420,8,6/14/2021 0:00,6/22/2021 0:00,1980,2021,2021
ML81850055,790 Bowhill RD ,94010,San Mateo,11,4000000,3790000,60,3426,21780,0,6/21/2021 0:00,6/21/2021 0:00,1961,2021,2021
TM21-745580,939 Nowita PL ,90291,Los Angeles,0,1717000,1685000,98,740,3400,5,6/9/2021 0:00,6/14/2021 0:00,1923,2021,2021
TM21-751956,7614 Willoughby AVE ,90046,Los Angeles,0,1865000,1870000,98,1808,3201,8,6/22/2021 0:00,6/30/2021 0:00,1923,2021,2021
BA321050219,30 Chickasaw CT ,94925,Marin,17,2400000,2730000,66,1924,8294,6,6/9/2021 0:00,6/15/2021 0:00,1955,2021,2021
BA321050991,99 Sleepy Hollow DR ,94960,Marin,17,2895000,2800000,60,3292,14501,11,6/10/2021 0:00,6/21/2021 0:00,1961,2021,2021
BA321051803,20954 Highway 1 ,95450,Sonoma,13,995000,910000,54,1400,10433,24,6/13/2021 0:00,7/7/2021 0:00,1967,2021,2021
BA321057065,1590 Cunningham WAY ,95403,Sonoma,13,679000,750000,44,1300,7040,18,7/2/2021 0:00,7/20/2021 0:00,1977,2021,2021
