MLS Number,Street Address,zip_code,county,County_Index,List Price,Sale Price,Age,Sq Ft Total,Lot Size,Days On Market,Listing Date,Sale Date,Year Built,Listing Year,Sale Year
BA321045593,110 Ralston AVE ,94941,Marin,17,1750000,2200000,43,2215,31080,4,6/12/2021 0:00,6/16/2021 0:00,1978,2021,2021
BA321051684,526 Sandy ,94510,Solano,14,795000,865000,43,1579,14375,12,6/11/2021 0:00,6/23/2021 0:00,1978,2021,2021
BA321056825,1079 W Verano AVE ,95476,Sonoma,13,1285000,1300000,57,1353,12632,2,6/24/2021 0:00,6/26/2021 0:00,1964,2021,2021
BE40953648,37071 Elm St ,94536,Alameda,5,1348888,1575000,59,2011,9744,6,6/10/2021 0:00,6/16/2021 0:00,1962,2021,2021
CC40954591,1224 Sherlock Way ,94521,Contra Costa,4,719000,818000,65,1390,5700,5,6/16/2021 0:00,6/21/2021 0:00,1956,2021,2021
CC40954843,1245 Panorama Dr ,94549,Contra Costa,4,2385000,2600000,70,2632,30420,8,6/17/2021 0:00,6/25/2021 0:00,1951,2021,2021
CNSR20096339,27155 Colebrook PL ,91354,Los Angeles,0,710000,710000,32,1744,6978,5,5/20/2020 0:00,5/25/2020 0:00,1989,2020,2020
CRBB21127896,154 Azalea ST ,93015,Ventura,12,849999,890000,1,3177,8774,8,6/13/2021 0:00,6/21/2021 0:00,2020,2021,2021
CRNS21028439,435 Jacob WAY ,93465,San Luis Obispo,20,799000,799000,15,2076,18295,0,2/8/2021 0:00,2/8/2021 0:00,2006,2021,2021
CROC21128770,27780 Espinoza ,92692,Orange,1,645000,680000,45,1503,3478,8,6/15/2021 0:00,6/23/2021 0:00,1976,2021,2021
CRPW21126591,22 Bodega Bay ,92602,Orange,1,1280000,1330000,21,2009,3713,5,6/12/2021 0:00,6/17/2021 0:00,2000,2021,2021
CRPW21129845,6920 E Amapola AVE ,92869,Orange,1,2985000,3050000,30,6164,43560,337,7/23/2020 0:00,6/25/2021 0:00,1991,2020,2021
CRPW21139539,12751 Woodlawn AVE ,92780,Orange,1,819000,815000,61,1407,8800,10,6/27/2021 0:00,7/7/2021 0:00,1960,2021,2021
CRV1-6514,3375 San Luis ST ,93003,Ventura,12,869000,871000,61,2290,8365,7,6/16/2021 0:00,6/23/2021 0:00,1960,2021,2021
ME202001206,21525 S Powerhouse ,96059,Tehama,32,189000,190000,82,1530,130680,0,4/16/2020 0:00,4/16/2020 0:00,1939,2020,2020
ME202003034,15875 Ganim LN ,96001,Shasta,30,634900,625000,1,2211,45302,109,10/8/2020 0:00,1/25/2021 0:00,2020,2020,2021
ME202100443,1824 Cleo CT ,95993,Sutter,23,399900,420000,31,1860,10454,40,2/18/2021 0:00,3/30/2021 0:00,1990,2021,2021
ME202101033,3060 Clearview DR ,95993,Sutter,23,410000,420000,53,1934,10019,1,4/27/2021 0:00,4/28/2021 0:00,1968,2021,2021
ME221053835,200 Swazey CT ,95747,Placer,10,679999,680000,26,2287,9365,4,6/17/2021 0:00,6/21/2021 0:00,1995,2021,2021
ME221064999,2019 Lux CT ,95608,Sacramento,2,1190000,1251000,50,3326,15682,6,6/9/2021 0:00,6/15/2021 0:00,1971,2021,2021
ME221065315,3217 Acton WAY ,95747,Placer,10,439000,455000,28,1040,4805,7,6/10/2021 0:00,6/17/2021 0:00,1993,2021,2021
ME221070918,4819 Donnie Lyn WAY ,95608,Sacramento,2,569950,605000,60,1618,10454,5,6/18/2021 0:00,6/23/2021 0:00,1961,2021,2021
ME221078574,13691 Bates RD ,95685,Amador,33,299000,285000,56,3354,345866,1,7/2/2021 0:00,7/3/2021 0:00,1965,2021,2021
ME602147,7871 Garden HWY ,95991,Sutter,23,525000,489000,109,3080,60548,49,3/12/2021 0:00,4/30/2021 0:00,1912,2021,2021
ML81848442,12734 Irwin WAY ,95006,Santa Cruz,26,898000,850000,60,2236,69957.36,15,6/11/2021 0:00,6/26/2021 0:00,1961,2021,2021
ML81848697,6 Blackberry LN ,95006,Santa Cruz,26,949000,1080000,43,1960,114998.4,10,6/20/2021 0:00,6/30/2021 0:00,1978,2021,2021
BA321053031,113 Lakehurst DR ,95687,Solano,14,550000,565000,47,1905,5663,27,6/17/2021 0:00,7/14/2021 0:00,1974,2021,2021
BA321053062,1441 Thomas DR ,94558,Napa,25,639000,655000,68,1470,6797,17,6/15/2021 0:00,7/2/2021 0:00,1953,2021,2021
BE40954727,2018 Poinsettia St ,94582,Contra Costa,4,1349000,1550000,5,2217,2625,5,6/17/2021 0:00,6/22/2021 0:00,2016,2021,2021
BE40956010,4108 Pinon Way ,94551,Alameda,5,825000,879375,34,1305,5094,6,6/24/2021 0:00,6/30/2021 0:00,1987,2021,2021
BE40956146,3108 Vittoria Loop ,94568,Alameda,5,1288888,1340000,7,2368,2184,7,6/25/2021 0:00,7/2/2021 0:00,2014,2021,2021
CC40953635,240 Laurelglen Court ,94506,Contra Costa,4,1798000,2050000,32,3237,8174,3,6/23/2021 0:00,6/26/2021 0:00,1989,2021,2021
CC40954471,35 Diablo View Ct ,94506,Contra Costa,4,2088000,2440000,31,3148,15246,0,6/18/2021 0:00,6/18/2021 0:00,1990,2021,2021
CRIG21116943,16280 Twilight CIR ,92503,Riverside,3,460000,480000,23,1214,4356,16,5/31/2021 0:00,6/16/2021 0:00,1998,2021,2021
CRIV21122392,4694 Cristy AVE ,92407,San Bernardino,8,424900,467000,28,1661,6490,7,6/5/2021 0:00,6/12/2021 0:00,1993,2021,2021
CRIV21133730,29765 Far Shore DR ,92585,Riverside,3,550000,545000,4,2728,6869,1,6/18/2021 0:00,6/19/2021 0:00,2017,2021,2021
CROC21137558,3112 Corte Marin ,92660,Orange,1,1450000,1451000,32,1969,3575,4,7/1/2021 0:00,7/5/2021 0:00,1989,2021,2021
CRPI21118431,1562 S Madison LN ,93458,Santa Barbara,29,589000,610000,3,2248,4792,8,6/4/2021 0:00,6/12/2021 0:00,2018,2021,2021
CRPW21145636,15415 Ashgrove DR ,90638,Los Angeles,0,675000,675000,62,1395,6343,9,5/21/2021 0:00,5/30/2021 0:00,1959,2021,2021
CRSB21127329,1263 W 89th ST ,90044,Los Angeles,0,419900,455000,71,768,6085,1,6/11/2021 0:00,6/12/2021 0:00,1950,2021,2021
CRTR21138672,3171 E Rutherford Drive ,91761,San Bernardino,8,769900,840000,3,3628,5225,5,6/25/2021 0:00,6/30/2021 0:00,2018,2021,2021
CRV0-219003358,250 Palomares AVE ,93003,Ventura,12,749900,649000,68,2010,7290,14,3/25/2019 0:00,4/8/2019 0:00,1953,2019,2019
ME201903483,2558 Oak Knoll WAY ,95966,Butte,9,214900,218000,64,1104,21780,16,10/4/2019 0:00,10/20/2019 0:00,1957,2019,2019
ME221072328,5301 San Juan AVE ,95628,Sacramento,2,460000,467465,63,1268,14375,4,6/21/2021 0:00,6/25/2021 0:00,1958,2021,2021
ML81848467,10120 Westminster CT ,95014,Santa Clara,6,3498000,3500000,33,3391,14372,4,6/11/2021 0:00,6/15/2021 0:00,1988,2021,2021
ML81848718,46054 Meadowbrook DR ,93930,Monterey,22,485000,497500,32,1868,12491,6,6/13/2021 0:00,6/19/2021 0:00,1989,2021,2021
CNSR21107463,13742 Mercer ST ,91331,Los Angeles,0,929777,920000,74,2342,6534,5,6/11/2021 0:00,6/16/2021 0:00,1947,2021,2021
CNSR21120921,5749 Beck AVE ,91601,Los Angeles,0,799000,875000,80,1370,6614,15,6/17/2021 0:00,7/2/2021 0:00,1941,2021,2021
CNSR21123755,28541 Gibraltar LN ,91384,Los Angeles,0,725000,785000,18,2247,7047,4,6/11/2021 0:00,6/15/2021 0:00,2003,2021,2021
CRAR21126044,16416 Montbrook ST ,91744,Los Angeles,0,660000,660000,65,1349,6283,0,6/10/2021 0:00,6/10/2021 0:00,1956,2021,2021
CRIV21125612,23434 Shady Glen CT ,92557,Riverside,3,425000,425000,37,1600,3485,5,6/9/2021 0:00,6/14/2021 0:00,1984,2021,2021
CRIV21125822,38445 Cougar Pass ,93551,Los Angeles,0,430000,450000,26,2098,6899,2,6/8/2021 0:00,6/10/2021 0:00,1995,2021,2021
CRNP21131799,15051 Clemons CIR ,92604,Orange,1,1195000,1173186,49,2160,6832,5,6/18/2021 0:00,6/23/2021 0:00,1972,2021,2021
CRNS21126912,1966 Tulipwood DR ,93446,San Luis Obispo,20,460000,479000,35,1275,6098,2,6/12/2021 0:00,6/14/2021 0:00,1986,2021,2021
CROC21142956,4062 Northpark CIR ,92604,Orange,1,1050000,1252000,49,1819,8100,6,7/1/2021 0:00,7/7/2021 0:00,1972,2021,2021
CRPTP2104088,29143 Gooseneck Trail ,92584,Riverside,3,499900,505000,13,1910,6534,10,6/10/2021 0:00,6/20/2021 0:00,2008,2021,2021
CRPV21104978,742 E Las Palmas DR ,92835,Orange,1,899000,1000000,65,2169,9440,37,5/16/2021 0:00,6/22/2021 0:00,1956,2021,2021
CRPW21154758,2114 Mignon WAY ,92870,Orange,1,850000,840000,58,1665,7300,39,5/6/2021 0:00,6/14/2021 0:00,1963,2021,2021
CRSW21126672,29407 Pineleaf ST ,92584,Riverside,3,575000,590000,14,2892,6970,4,6/11/2021 0:00,6/15/2021 0:00,2007,2021,2021
CRV0-219001386,358 S Santa Cruz ST ,93001,Ventura,12,829000,805000,76,1664,6000,78,2/6/2019 0:00,4/25/2019 0:00,1945,2019,2019
CRV0-219012640,628 Mahoney AVE ,93022,Ventura,12,574900,565000,74,936,18050,74,10/14/2019 0:00,12/27/2019 0:00,1947,2019,2019
ME201903914,276 Oregon Gulch Road ,95965,Butte,9,315000,317000,40,1758,389862,7,11/13/2019 0:00,11/20/2019 0:00,1981,2019,2019
ME221064829,1448 38th AVE ,95822,Sacramento,2,340000,335000,71,1212,5227,1,6/14/2021 0:00,6/15/2021 0:00,1950,2021,2021
ME221065276,3604 Eagle Crest CIR ,95843,Sacramento,2,450000,475000,27,1440,5458,5,6/9/2021 0:00,6/14/2021 0:00,1994,2021,2021
ME221065528,222 N Falls DR ,95630,Sacramento,2,1375000,1400000,15,4379,17598,0,6/10/2021 0:00,6/10/2021 0:00,2006,2021,2021
ME221069434,4015 Sherman WAY ,95817,Sacramento,2,544900,590000,80,1084,4792,5,6/17/2021 0:00,6/22/2021 0:00,1941,2021,2021
ML81848980,862 Geronimo ST ,95020,Santa Clara,6,999999,1130000,9,2402,6957,7,6/15/2021 0:00,6/22/2021 0:00,2012,2021,2021
TM21-748710,3431 Lambeth ST ,90027,Los Angeles,0,3850000,3850000,86,3341,7200,25,6/14/2021 0:00,7/9/2021 0:00,1935,2021,2021
TM21-749922,6413 Oakdale AVE ,91367,Los Angeles,0,1150000,1150000,67,1801,7511,0,6/15/2021 0:00,6/15/2021 0:00,1954,2021,2021
TM21-751130,1613 Arla WAY ,90041,Los Angeles,0,890000,890000,0,1711,1207,0,6/11/2021 0:00,6/11/2021 0:00,2021,2021,2021
BE40954923,3037 Leger Ct ,94588,Alameda,5,1498000,1675000,36,2144,6788,3,6/17/2021 0:00,6/20/2021 0:00,1985,2021,2021
CC40953557,395 Cheshire Dr ,94513,Contra Costa,4,599000,721000,27,1414,5900,7,6/9/2021 0:00,6/16/2021 0:00,1994,2021,2021
CRAR21125172,1148 N Iglesia ST ,91773,Los Angeles,0,899000,950000,74,1529,27297,9,6/10/2021 0:00,6/19/2021 0:00,1947,2021,2021
CRAR21133450,24332 Delta DR ,91765,Los Angeles,0,1350000,1445630,36,3253,11036,0,6/19/2021 0:00,6/19/2021 0:00,1985,2021,2021
CRNDP2106700,1784 Star Crest PL ,92078,San Diego,7,979000,1190000,16,2710,5461,4,6/10/2021 0:00,6/14/2021 0:00,2005,2021,2021
CRNDP2107325,4435 Osprey ST ,92107,San Diego,7,1350000,1351000,84,1588,6900,6,6/19/2021 0:00,6/25/2021 0:00,1937,2021,2021
CROC21121856,34 Albergar ,92672,Orange,1,825000,860000,32,1206,3990,5,6/18/2021 0:00,6/23/2021 0:00,1989,2021,2021
CROC21124424,18 Harveston ,92692,Orange,1,999900,1125000,27,2000,4500,9,6/9/2021 0:00,6/18/2021 0:00,1994,2021,2021
CRPF21118294,16066 Flamstead DR ,91745,Los Angeles,0,799000,800000,66,1882,6635,12,6/10/2021 0:00,6/22/2021 0:00,1955,2021,2021
CRPW21097048,8425 E Meadowridge ST ,92808,Orange,1,799900,873000,37,1514,5000,5,6/11/2021 0:00,6/16/2021 0:00,1984,2021,2021
CRPW21116778,1008 S Cascade LN ,92808,Orange,1,948000,1023000,28,1921,5974,16,5/31/2021 0:00,6/16/2021 0:00,1993,2021,2021
CRPW21137088,5081 Cumberland AVE ,92683,Orange,1,799999,800000,62,1326,7700,16,6/16/2021 0:00,7/2/2021 0:00,1959,2021,2021
CRSW21125808,5610 Corte Viejo ,92545,Riverside,3,419900,440000,10,1880,7405,4,6/10/2021 0:00,6/14/2021 0:00,2011,2021,2021
ME202000264,11262 Winding WAY ,95930,Butte,9,130000,117500,49,1056,17424,35,11/8/2019 0:00,12/13/2019 0:00,1972,2019,2019
ME202100883,546 Park AVE ,95991,Sutter,23,249000,249000,101,1012,4792,12,4/9/2021 0:00,4/21/2021 0:00,1920,2021,2021
ME221003726,11974 Lake Wildwood DR ,95946,Nevada,28,769000,769000,42,2610,10890,1,6/22/2021 0:00,6/23/2021 0:00,1979,2021,2021
ME221023146,2040 Medici WAY ,95762,El Dorado,18,1100000,1155000,14,2943,16988,1,6/14/2021 0:00,6/15/2021 0:00,2007,2021,2021
ME221062930,6420 Westbrook DR ,95621,Sacramento,2,368000,404000,62,1350,6970,7,6/17/2021 0:00,6/24/2021 0:00,1959,2021,2021
ME221062976,8953 Custer AVE ,95662,Sacramento,2,495000,526000,63,1296,10019,7,6/16/2021 0:00,6/23/2021 0:00,1958,2021,2021
ME221064979,1466 Topanga LN ,95648,Placer,10,520000,525000,16,1741,5197,7,6/9/2021 0:00,6/16/2021 0:00,2005,2021,2021
ME221065560,151 Johnson ST ,95692,Yuba,21,430000,435000,19,1506,5963,4,6/10/2021 0:00,6/14/2021 0:00,2002,2021,2021
ME221067837,7164 Stanford Oak DR ,95842,Sacramento,2,385000,405000,42,1054,8368,3,6/13/2021 0:00,6/16/2021 0:00,1979,2021,2021
ME221070123,7605 18th AVE ,95820,Sacramento,2,374999,425000,20,1431,5624,7,6/17/2021 0:00,6/24/2021 0:00,2001,2021,2021
ME221072513,3620 Cody WAY ,95864,Sacramento,2,499000,550000,65,1685,10158,7,6/23/2021 0:00,6/30/2021 0:00,1956,2021,2021
ME221072764,5313 Bee Jay CT ,95628,Sacramento,2,595000,685000,35,1817,10019,6,6/23/2021 0:00,6/29/2021 0:00,1986,2021,2021
ME221076189,505 Blue Canyon DR ,95354,Stanislaus,16,374950,405000,28,1369,5131,9,6/28/2021 0:00,7/7/2021 0:00,1993,2021,2021
ML81853511,3431 Rubion DR ,95148,Santa Clara,6,1099990,1100000,53,1610,6079,0,7/14/2021 0:00,7/14/2021 0:00,1968,2021,2021
SF421564110,252 Bonview ST ,94110,San Francisco,19,1499000,1800000,121,1350,1794,31,4/20/2021 0:00,5/21/2021 0:00,1900,2021,2021
TM21-749184,1717 Stanley AVE ,90019,Los Angeles,0,1299000,1432500,93,1442,6124,12,6/16/2021 0:00,6/28/2021 0:00,1928,2021,2021
TM21-755282,2114 Balsam AVE ,90025,Los Angeles,0,2775000,2775000,94,3282,5463,0,3/26/2021 0:00,3/26/2021 0:00,1927,2021,2021
BA321049587,199 Temelec CIR ,95476,Sonoma,13,725000,810000,54,1704,6652,16,6/16/2021 0:00,7/2/2021 0:00,1967,2021,2021
BA321056631,62 Paseo Mirasol ,94920,Marin,17,3177000,3100000,50,3490,29150,13,5/4/2021 0:00,5/17/2021 0:00,1971,2021,2021
BE40953599,4039 PATTERSON AVENUE ,94619,Alameda,5,995000,1500000,94,1796,4080,2,6/10/2021 0:00,6/12/2021 0:00,1927,2021,2021
BE40954258,28095 E 12th St ,94544,Alameda,5,399950,515000,78,936,4316,2,6/14/2021 0:00,6/16/2021 0:00,1943,2021,2021
CNSR21124095,2378 Pinecrest ST ,93065,Ventura,12,824900,880500,53,2498,6500,7,6/9/2021 0:00,6/16/2021 0:00,1968,2021,2021
CNSR21145680,23229 Friar ST ,91367,Los Angeles,0,750000,750000,61,1336,8249,0,7/5/2021 0:00,7/5/2021 0:00,1960,2021,2021
CRCV21124721,979 Denver DR ,92626,Orange,1,899500,1015000,59,1834,5992,9,6/9/2021 0:00,6/18/2021 0:00,1962,2021,2021
CREV21125535,35670 Sleepy Hollow LN ,92399,San Bernardino,8,799000,799000,23,2295,21750,5,6/10/2021 0:00,6/15/2021 0:00,1998,2021,2021
CRIV21128956,2819 Shepherd LN ,92407,San Bernardino,8,489900,586000,42,1610,19500,11,6/14/2021 0:00,6/25/2021 0:00,1979,2021,2021
CRNDP2106549,4703 Caminito Eva ,92130,San Diego,7,1400000,1500000,23,2164,73395,6,6/8/2021 0:00,6/14/2021 0:00,1998,2021,2021
CRNDP2107077,500 Rudder Ave. ,92011,San Diego,7,2275000,2503000,21,3477,6209,7,6/22/2021 0:00,6/29/2021 0:00,2000,2021,2021
CRNDP2107355,2482 Country View ,92026,San Diego,7,680000,680000,28,1741,7261,1,5/13/2021 0:00,5/14/2021 0:00,1993,2021,2021
CRPI21118525,890 Chata ST ,93444,San Luis Obispo,20,595000,630000,16,1449,6600,21,5/27/2021 0:00,6/17/2021 0:00,2005,2021,2021
CRPV21122987,1904 Via Vera ,90717,Los Angeles,0,899000,960000,50,2182,8189,9,6/9/2021 0:00,6/18/2021 0:00,1971,2021,2021
CRPW21116822,11413 Gradwell ST ,90715,Los Angeles,0,665000,685000,60,1064,4998,21,5/30/2021 0:00,6/20/2021 0:00,1961,2021,2021
CRSW21122340,537 Vardon CIR ,92545,Riverside,3,420000,440000,11,2024,5227,11,5/31/2021 0:00,6/11/2021 0:00,2010,2021,2021
CRSW21134670,28079 Panorama Hills DR ,92584,Riverside,3,459000,475000,17,1868,5663,3,6/21/2021 0:00,6/24/2021 0:00,2004,2021,2021
CRSW21134743,32629 Strigel CT ,92592,Riverside,3,549000,645000,28,1234,10454,11,6/21/2021 0:00,7/2/2021 0:00,1993,2021,2021
CRV0-219012162,1776 Bridget AVE ,93065,Ventura,12,580000,550000,54,2695,6500,140,10/1/2019 0:00,2/18/2020 0:00,1967,2019,2020
ME202001499,40250 State Highway 172 ,95963,Glenn,38,250000,250000,71,3000,20473,19,5/21/2020 0:00,6/9/2020 0:00,1950,2020,2020
ME202002625,5728 Arapaho WAY ,95451,Lake,37,389000,365000,41,1544,158994,56,9/1/2020 0:00,10/27/2020 0:00,1980,2020,2020
ME221065792,16338 Diablo CT ,95304,San Joaquin,15,999999,1100007,35,2900,69696,5,6/10/2021 0:00,6/15/2021 0:00,1986,2021,2021
ME221066912,2627 I ST ,95816,Sacramento,2,625000,651000,23,1317,1581,4,6/18/2021 0:00,6/22/2021 0:00,1998,2021,2021
ME221070018,8725 Armagh CT ,95624,Sacramento,2,559000,638000,41,2028,8002,3,6/18/2021 0:00,6/21/2021 0:00,1980,2021,2021
ME221072355,1328 Pecos AVE ,95351,Stanislaus,16,337900,347000,48,1050,6077,6,6/22/2021 0:00,6/28/2021 0:00,1973,2021,2021
ML81849718,716 Sycamore AVE ,94066,San Mateo,11,1088000,1380000,73,1200,5000,7,6/18/2021 0:00,6/25/2021 0:00,1948,2021,2021
ML81849783,1455 Mount Shasta AVE ,95035,Santa Clara,6,1298000,1435000,55,1230,5544,11,6/18/2021 0:00,6/29/2021 0:00,1966,2021,2021
ML81850337,3033 Fresno ST ,95051,Santa Clara,6,1675000,2130000,73,2016,7951,9,6/23/2021 0:00,7/2/2021 0:00,1948,2021,2021
ML81852754,425 Beverly ST ,94550,Alameda,5,1100000,1100000,29,1904,9210,0,7/9/2021 0:00,7/9/2021 0:00,1992,2021,2021
SF421561561,1355 20th AVE ,94122,San Francisco,19,1688000,2100000,104,1829,2996,7,6/11/2021 0:00,6/18/2021 0:00,1917,2021,2021
TM21-743020,2059 Laurel Canyon BLVD ,90046,Los Angeles,0,975000,1020000,95,1001,3992,5,6/10/2021 0:00,6/15/2021 0:00,1926,2021,2021
BA321053040,1652 Calle Ranchero ,94954,Sonoma,13,749000,780000,35,1388,6617,24,6/12/2021 0:00,7/6/2021 0:00,1986,2021,2021
BA321055047,35 Plymouth AVE ,94941,Marin,17,3395000,3650000,75,2154,5937,3,6/18/2021 0:00,6/21/2021 0:00,1946,2021,2021
CC40954631,123 Gatetree Court ,94526,Contra Costa,4,1950000,2050000,36,2891,10028,4,6/18/2021 0:00,6/22/2021 0:00,1985,2021,2021
CRDW21128332,729 W 131st ST ,90222,Los Angeles,0,400000,400000,74,814,5496,0,6/14/2021 0:00,6/14/2021 0:00,1947,2021,2021
CRNS21126990,1342 Stoney Creek RD ,93446,San Luis Obispo,20,449000,449000,22,1396,3369,1,6/10/2021 0:00,6/11/2021 0:00,1999,2021,2021
CROC21126800,12 Orchard ,92618,Orange,1,725000,739000,44,1133,2739,4,6/11/2021 0:00,6/15/2021 0:00,1977,2021,2021
CRPW21127512,19731 Parkview Terrace ,92886,Orange,1,950000,950000,49,1800,6875,1,6/11/2021 0:00,6/12/2021 0:00,1972,2021,2021
CRPW21132778,3541 Shadow Creek WAY ,91761,San Bernardino,8,459000,536000,37,1066,5700,12,6/18/2021 0:00,6/30/2021 0:00,1984,2021,2021
EB40954503,1048 Cornell Ave ,94706,Alameda,5,1150000,1600000,98,1222,3800,5,6/16/2021 0:00,6/21/2021 0:00,1923,2021,2021
ME201902511,1421 Little Grass Valley RD ,95981,Yuba,21,260000,240000,43,1104,30492,52,7/18/2019 0:00,9/8/2019 0:00,1978,2019,2019
ME221066077,848 Pennington PL ,95356,Stanislaus,16,350000,370000,35,1018,4844,3,6/11/2021 0:00,6/14/2021 0:00,1986,2021,2021
ME221067819,1400 Renown DR ,95376,San Joaquin,15,659900,700000,32,2383,6046,6,6/24/2021 0:00,6/30/2021 0:00,1989,2021,2021
ME221070110,9320 Lembert Dome CIR ,95212,San Joaquin,15,465000,475000,18,1708,5776,7,6/17/2021 0:00,6/24/2021 0:00,2003,2021,2021
ME221074366,2170 Hannah WAY ,95765,Placer,10,599900,630000,21,1860,6329,7,6/24/2021 0:00,7/1/2021 0:00,2000,2021,2021
ML81848758,1300 N Lemon AVE ,94025,San Mateo,11,3595000,3950000,61,2175,10400,4,6/14/2021 0:00,6/18/2021 0:00,1960,2021,2021
TM21-747240,1811 Pepper ST ,91505,Los Angeles,0,795000,920000,81,1283,6759,6,6/11/2021 0:00,6/17/2021 0:00,1940,2021,2021
TM21-748566,3953 Brilliant DR ,90065,Los Angeles,0,1095000,1262000,60,1092,4525,9,6/14/2021 0:00,6/23/2021 0:00,1961,2021,2021
TM21-751904,239 20Th ST ,90402,Los Angeles,0,4995000,5300000,32,5047,8922,11,6/22/2021 0:00,7/3/2021 0:00,1989,2021,2021
BA321049777,301 Locust AVE ,94901,Marin,17,3249000,3445000,116,3875,145926,8,6/9/2021 0:00,6/17/2021 0:00,1905,2021,2021
BA321054424,1500 Croton CT ,94534,Solano,14,549000,601000,36,1809,11326,19,6/16/2021 0:00,7/5/2021 0:00,1985,2021,2021
BE40953917,2615 BUENA VISTA AVENUE ,94501,Alameda,5,1995000,2750000,135,3886,6174,6,6/11/2021 0:00,6/17/2021 0:00,1886,2021,2021
CC40953465,2551 Fraser Ct ,94564,Contra Costa,4,850000,850000,60,1794,14400,8,6/9/2021 0:00,6/17/2021 0:00,1961,2021,2021
CC40955489,432 Candleberry Rd ,94598,Contra Costa,4,1250000,1430000,59,1885,8625,9,6/23/2021 0:00,7/2/2021 0:00,1962,2021,2021
CC40955775,24 Alta Hill Way ,94595,Contra Costa,4,1295000,1460000,46,1670,14577,6,6/23/2021 0:00,6/29/2021 0:00,1975,2021,2021
CC40956261,2277 Vestal Ave ,94546,Alameda,5,875000,925000,73,1602,5040,5,6/25/2021 0:00,6/30/2021 0:00,1948,2021,2021
CNSR21109346,5462 Evening Sky DR ,93063,Ventura,12,1149950,1200000,22,3396,9350,1,5/20/2021 0:00,5/21/2021 0:00,1999,2021,2021
CNSR21124577,17740 San Jose ST ,91344,Los Angeles,0,779900,882500,62,1704,9170,6,6/9/2021 0:00,6/15/2021 0:00,1959,2021,2021
CNSR21127195,8829 Mora CT ,93536,Los Angeles,0,494900,505000,14,2265,7703,5,6/11/2021 0:00,6/16/2021 0:00,2007,2021,2021
CRIV21120177,5066 S Kensington AVE ,91762,San Bernardino,8,730000,750000,5,3079,4997,11,6/3/2021 0:00,6/14/2021 0:00,2016,2021,2021
CROC21083199,21891 Seacrest LN ,92646,Orange,1,1730000,1730000,52,2520,6135,8,6/11/2021 0:00,6/19/2021 0:00,1969,2021,2021
CROC21118288,6016 E Hummingbird CT ,92869,Orange,1,979500,1052000,25,2073,3150,4,6/10/2021 0:00,6/14/2021 0:00,1996,2021,2021
CROC21126484,2532 University DR ,92660,Orange,1,750000,770000,59,1287,1612,6,6/16/2021 0:00,6/22/2021 0:00,1962,2021,2021
CRP0-819004097,1025 N Chester AVE ,91104,Los Angeles,0,1250000,1181000,107,2186,8910,13,9/4/2019 0:00,9/17/2019 0:00,1914,2019,2019
CRPW21127068,15544 Jacana DR ,90638,Los Angeles,0,700000,700000,64,2095,6214,0,6/11/2021 0:00,6/11/2021 0:00,1957,2021,2021
CRSB21131582,1721 Axenty WAY ,90278,Los Angeles,0,1200000,1195000,59,1558,2519,0,6/16/2021 0:00,6/16/2021 0:00,1962,2021,2021
CRSW21118777,42311 Circulo Cavinara ,92562,Riverside,3,635000,650000,23,2660,8276,14,5/26/2021 0:00,6/9/2021 0:00,1998,2021,2021
CRSW21137775,24396 Trails End DR ,92562,Riverside,3,459000,510000,33,1370,5663,6,6/24/2021 0:00,6/30/2021 0:00,1988,2021,2021
CRSW21139990,8181 Triplett LN ,92545,Riverside,3,359000,359900,18,1532,5227,1,6/27/2021 0:00,6/28/2021 0:00,2003,2021,2021
ME202003254,311 Los Verjeles RD ,95914,Butte,9,370000,400000,61,1500,225205,146,11/4/2020 0:00,3/30/2021 0:00,1960,2020,2021
ME202100719,116 Oak CT ,93610,Madera,34,349500,360000,13,2408,7405,6,3/24/2021 0:00,3/30/2021 0:00,2008,2021,2021
ME221059703,4134 Tahoe Vista DR ,95765,Placer,10,485000,505000,20,1635,8263,0,6/17/2021 0:00,6/17/2021 0:00,2001,2021,2021
ME221064877,6521 Graybark LN ,95326,Stanislaus,16,439000,458000,19,1720,6499,4,6/11/2021 0:00,6/15/2021 0:00,2002,2021,2021
ME221065190,909 Baker Hill WAY ,95765,Placer,10,835000,940000,16,3253,8037,5,6/10/2021 0:00,6/15/2021 0:00,2005,2021,2021
ME221065241,1891 Verrazona DR ,95747,Placer,10,559900,575000,8,1486,4064,4,6/11/2021 0:00,6/15/2021 0:00,2013,2021,2021
ME221066957,613 N Mcclure RD ,95357,Stanislaus,16,435000,480000,18,2087,5502,7,6/11/2021 0:00,6/18/2021 0:00,2003,2021,2021
ME221069420,6112 Laird RD ,95650,Placer,10,995000,1000000,48,1836,95832,1,6/19/2021 0:00,6/20/2021 0:00,1973,2021,2021
ME221070579,9361 Miko CIR ,95624,Sacramento,2,669888,724888,16,2647,8233,6,6/17/2021 0:00,6/23/2021 0:00,2005,2021,2021
ME221071006,2148 Stacia WAY ,95822,Sacramento,2,499000,527500,83,1051,6098,7,6/19/2021 0:00,6/26/2021 0:00,1938,2021,2021
ML81848452,65 Downey WAY ,94010,San Mateo,11,5998000,6450000,67,4530,25280,3,6/11/2021 0:00,6/14/2021 0:00,1954,2021,2021
