Status,Street Address (Full),List Price,Sale Price,Age,Sq Ft Total,Lot Size,Listing Date,Sale Date,Close Date,DOM,Zip Code,Original List Price,Year Built,Lot Size,MLS Number ,,
Sold,3922 17th ST ,5995000,6000000,121,4185,5196,6/11/2021 0:00,6/26/2021 0:00,7/19/2021 0:00,15,94114,5995000,1900,5196,SF421561800,,
Sold,4343 St ,5800000,5800000,12,5612,32200,5/3/2021 0:00,7/2/2021 0:00,7/2/2021 0:00,60,92107,5800000,2009,32200,CRNDP2107736,,
Sold,3 Upper RD W ,5750000,5761000,71,3952,75250,7/5/2021 0:00,7/5/2021 0:00,7/6/2021 0:00,0,94957,5750000,1950,75250,BA321060459,,
Sold,1165 Somera RD ,5750000,5750000,57,3987,46204,7/2/2021 0:00,7/2/2021 0:00,7/2/2021 0:00,0,90077,5750000,1964,46204,TM21-756310,,
Sold,19852 PARK DR ,5700000,5739000,66,3826,24869,7/5/2021 0:00,7/5/2021 0:00,7/5/2021 0:00,0,95070,5700000,1955,24869,ML81851949,,
Sold,209 Crocker Ave ,5700000,5700000,84,4621,15000,6/17/2021 0:00,6/17/2021 0:00,6/17/2021 0:00,0,94610,5700000,1937,15000,EB40954829,,
Sold,12 Tideline ,5688000,5537000,17,3982,6229,4/16/2021 0:00,4/17/2021 0:00,6/16/2021 0:00,1,92657,5688000,2004,6229,CRNP21082275,,
Sold,126 Arguello BLVD ,5600000,5525000,90,3516,2853,6/9/2021 0:00,6/26/2021 0:00,7/2/2021 0:00,17,94118,5600000,1931,2853,SF421561146,,
Sold,67 Molino ,5500000,5500000,113,4309,37300,6/1/2021 0:00,6/1/2021 0:00,6/25/2021 0:00,0,94941,5500000,1908,37300,BA321063738,,
Sold,15247 Via Pinto ,4780000,5400000,20,4013,29700,6/9/2021 0:00,6/12/2021 0:00,7/20/2021 0:00,3,95030,4780000,2001,29700,ML81848087,,
Sold,1759 Kircher CT ,4498000,5350000,17,3189,25860,6/24/2021 0:00,7/1/2021 0:00,7/7/2021 0:00,7,94024,4498000,2004,25860,ML81848208,,
Sold,239 20Th ST ,4995000,5300000,32,5047,8922,6/22/2021 0:00,7/3/2021 0:00,7/19/2021 0:00,11,90402,4995000,1989,8922,TM21-751904,,
Sold,26415 Anacapa CT ,4998000,5300000,22,4050,49464,6/10/2021 0:00,6/17/2021 0:00,7/19/2021 0:00,7,94022,5498000,1999,49464,ML81848275,,
