zip_code,county,County_Index,Year_Sale,List Price,Sale Price,Age,Sq Ft Total,Lot Size,DOM,Sale Date
94530,Contra Costa,4,2021,1024000,1100000,74,1864,3700,231,3/7/2021 0:00
95340,Merced,27,2021,339900,360000,72,1954,7405,2,6/11/2021 0:00
95354,Stanislaus,16,2021,365000,395000,44,1245,5663,4,6/25/2021 0:00
95462,Sonoma,13,2021,599000,700000,111,1167,8844,15,7/2/2021 0:00
95765,Placer,10,2021,689000,720000,12,2183,9021,5,6/22/2021 0:00
95961,Yuba,21,2020,442510,468600,0,2041,8822,7,12/19/2020 0:00
95966,Butte,9,2019,99000,90000,31,1040,4792,49,9/11/2019 0:00
90039,Los Angeles,0,2021,775000,825500,96,851,5582,13,6/29/2021 0:00
90713,Los Angeles,0,2021,799999,821000,69,1215,5254,6,6/21/2021 0:00
91607,Los Angeles,0,2021,1349000,1349000,71,1635,7427,5,6/28/2021 0:00
91750,Los Angeles,0,2021,749990,845000,63,1231,9616,6,6/30/2021 0:00
91762,San Bernardino,8,2021,730000,750000,5,3079,4997,11,6/14/2021 0:00
91801,Los Angeles,0,2021,589000,585000,98,986,4950,43,6/22/2021 0:00
92586,Riverside,3,2021,349900,355000,32,1417,7841,2,6/14/2021 0:00
92602,Orange,1,2021,1280000,1330000,21,2009,3713,5,6/17/2021 0:00
92860,Riverside,3,2021,1095000,1270000,17,3582,55757,20,6/21/2021 0:00
93001,Ventura,12,2019,1249900,1249900,93,1879,5700,32,10/25/2019 0:00
94086,Santa Clara,6,2021,1798000,2320000,58,1533,6100,7,6/16/2021 0:00
94531,Contra Costa,4,2021,855000,930000,4,3529,6594,8,6/19/2021 0:00
94534,Solano,14,2021,1750000,1750000,6,4594,31050,29,6/30/2021 0:00
94597,Contra Costa,4,2021,1325000,1500000,67,1825,7500,5,6/15/2021 0:00
94598,Contra Costa,4,2021,1250000,1430000,59,1885,8625,9,7/2/2021 0:00
94702,Alameda,5,2021,899000,1100000,99,1199,3500,8,6/17/2021 0:00
94801,Contra Costa,4,2021,419000,500000,80,794,4400,6,6/16/2021 0:00
95124,Santa Clara,6,2021,1999000,1999999,54,2364,9092,11,7/8/2021 0:00
95391,San Joaquin,15,2021,950000,1008888,14,2929,5954,9,6/19/2021 0:00
95458,Lake,37,2021,529000,529000,1,2167,11761,290,7/4/2021 0:00
95620,Solano,14,2021,509000,540000,26,1514,5001,5,7/7/2021 0:00
95747,Placer,10,2021,679999,680000,26,2287,9365,4,6/21/2021 0:00
95817,Sacramento,2,2021,544900,590000,80,1084,4792,5,6/22/2021 0:00
91306,Los Angeles,0,2021,775000,845000,68,1591,9000,3,6/14/2021 0:00
92337,San Bernardino,8,2021,460000,445000,22,1102,4000,4,6/14/2021 0:00
92377,San Bernardino,8,2021,525000,581000,27,1897,6600,32,6/20/2021 0:00
